ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6zk5	unrelaxed_multimer_v3	2	3	0.5980122696721369	0.93172991	[0.650170716258138, 0.6488768755135144]	[0.91311485, 0.91286683]	[92.34666666666668, 92.31383333333333]	0.904987224471223	0.8788793	0.8841008918546939	1
6zk5	unrelaxed_multimer_v3	2	4	0.6124616434366029	0.9400192	[0.6859618447374444, 0.6856203927620684]	[0.9256874, 0.92542064]	[92.67274193548387, 92.68435483870965]	0.9096698380191564	0.8841359	0.8892426891461898	1
6zk5	unrelaxed_multimer_v3	2	5	0.6044522019387908	0.9400192	[0.6560647600963332, 0.6556211113306751]	[0.9148494, 0.9143763]	[92.43483333333333, 92.46283333333334]	0.9041861345685164	0.8776345	0.8829448471529612	1
6zk5	unrelaxed_multimer_v3	3	1	0.5909053928973722	0.93172991	[0.629891018084749, 0.6304117292822765]	[0.9078777, 0.9081971]	[91.96580645161289, 91.95693548387098]	0.9011928408749904	0.8804504	0.884598910200755	1
6zk5	unrelaxed_multimer_v3	3	2	0.5983267006545384	0.93172991	[0.6619019517789906, 0.6616524798032642]	[0.9145832, 0.91459]	[92.72250000000003, 92.71066666666667]	0.9028500630637486	0.8818579	0.8860563102201716	1
6zk5	unrelaxed_multimer_v3	3	3	0.5924973811843903	0.93172991	[0.6215044264153319, 0.6236120130058028]	[0.9063446, 0.9065643]	[91.74225806451612, 91.81532258064517]	0.900836376064552	0.8802977	0.8844054515587356	1
6zk5	unrelaxed_multimer_v3	3	4	0.6035234751659855	0.9400192	[0.6431454043290707, 0.6427422415902111]	[0.9120662, 0.91212326]	[92.13799999999998, 92.11416666666668]	0.9035847326208608	0.8830768	0.8871783761201194	1
6zk5	unrelaxed_multimer_v3	3	5	0.5960097434127316	0.93172991	[0.6334969829574548, 0.6323911641495661]	[0.9087257, 0.90816236]	[92.04241935483871, 92.04967741935484]	0.9019309520359003	0.8809538	0.8851492214130395	1
6zk5	unrelaxed_multimer_v3	4	1	0.6259777059587173	0.9400192	[0.7525172328919891, 0.7518064891162292]	[0.943641, 0.943497]	[93.81738461538461, 93.80030769230768]	0.911582826357634	0.89073664	0.8949058768712583	1
6zk5	unrelaxed_multimer_v3	4	2	0.6256879183222608	0.9400192	[0.7396339024448846, 0.7401452718634566]	[0.9400846, 0.93986577]	[93.60258064516128, 93.64693548387098]	0.9087735203944854	0.88641024	0.8908828931658113	1
6zk5	unrelaxed_multimer_v3	4	3	0.6046421488745684	0.9400192	[0.6855747784715853, 0.6845270859597881]	[0.9233454, 0.9227461]	[92.89064516129034, 92.90451612903225]	0.905058565530195	0.88322747	0.8875936871355801	1
6zk5	unrelaxed_multimer_v3	4	4	0.6191590674371359	0.9400192	[0.74513164889613, 0.7425550036397824]	[0.9413402, 0.9412824]	[93.72015873015874, 93.61222222222223]	0.9093591491695096	0.8872081	0.8916383131407868	1
6zk5	unrelaxed_multimer_v3	4	5	0.6200368609723056	0.9400192	[0.7343453178885312, 0.733777640028694]	[0.9411627, 0.94116616]	[93.26257575757576, 93.23727272727272]	0.9102402953462426	0.88742787	0.8919903522363628	1
6zk5	unrelaxed_multimer_v3	5	1	0.5968077694380243	0.93172991	[0.6428878587467967, 0.6450462378920205]	[0.9102255, 0.9107204]	[92.31275862068966, 92.35948275862069]	0.904251764136579	0.88099587	0.8856470485365444	1
6zk5	unrelaxed_multimer_v3	5	2	0.5894343482554492	0.93172991	[0.6170664624533551, 0.6199843076861057]	[0.9043793, 0.904861]	[91.74034482758621, 91.82379310344827]	0.8996379578970657	0.8764447	0.881083349483466	1
6zk5	unrelaxed_multimer_v3	5	3	0.5927747678687858	0.93172991	[0.6241206995790702, 0.6249385429578934]	[0.9038785, 0.9043642]	[92.11120689655174, 92.09879310344826]	0.9014324935637428	0.878996	0.883483310388774	1
6zk5	unrelaxed_multimer_v3	5	4	0.597612875482826	0.93172991	[0.6532392089670007, 0.65261138419219]	[0.91262734, 0.91236347]	[92.53338983050847, 92.53203389830507]	0.9032272322587408	0.8811105	0.8855338379464992	1
